,Summary,Issue key,Issue Type,Status,Project key,Project name,Project type,Project description,Project url,Priority,Description,Cluster,Feature_name
145,Multi-language master data for local dimensions,FPA34-7475,User Story,Backlog,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"After the deployment of multi-language support for public master data dimensions in 2022, we should tackle the support of local dimensions as well. One use case is the version dimension which is never public but should be enabled for multi-language descriptions as well.??",3,data
146,Create version directly in the model,FPA34-7248,User Story,Backlog,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,The customer would like to create Version members?????? directly in the dimension Version of the modeler instead of using the Version management panel in the st,9,dimension
147,"Analytical Application (Sales Data Analyzer, Generic Template) Filter effects selection of other Filter",FPA34-7530,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"{{*User Story*}}
as a table reporting user (Sales Data Analyzer or Generic Template or similar analytical application - please find the content in SAC [here|#/files&/f/myfiles/4FEDFAFA142F68DBD5793778B7A4C161]),] I would like to have the option, that filter act like story or page filter of SAC. If I filter e.g. for a dimension: Status on the attribute ""open"", filters, that I set afterwards, should only show attributes, that have Status=Open like it is done in SAC Stories.

Please find attached as screenshot how does it work in Stories and how does it not work in Analytical Applications. Filtered for the date reduces the available options for status.
??????
{{*Business Scenario / Example*}}
Table and Drill Analysis for to be migrated Design Studio Reports. SAP/ID&A/Enterprise Analytics Strategy is to migrate Design Studio Reports to SAC. Design Studio (and also Analysis For Office and SAC Stories) cover this functionality. Only Analytical Applications seem not to be capable of doing it.

Within Development, a lot of colleagues are still using design studio reports and see this as a showstopper without a propper workaround??????
??????
{{*Value added if available*}}

Table and Analysis Reports cannot be used without a proper filtering functionality.
 * it is more convenient, if I see less dimension attributes (If I e.g. h""Sales Order by ID"" there might be more than 100.000 dimension attributes in a table report. If I filter on Status=Open, there might only be 10.000. If I continue filtering on Creation Date = Current Year, there might reduced to 5.000. If I filter on Owned by ""Sales Person XYZ"" It might filter only 25.
 * It is confusing, if the filter shows elements without any effect. If I Filter on Open, but still see all active dates and filter e.g. for 2012 and will get no result, the user will not see anything

??????
",5,filter
148,Four-eyes principle for lifecycle management - ACN Approval workflow,FPA34-7739,Epic,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Include Approval workflow during ACN Import.

For importing content into the productive tenant, the customer would like to set up a technical four-eyes principle. This means, that person A uploads the import files and sets up the import process.??????

Person??????B??????receives??????a??????request??????for??????approval.??????The??????import??????job??????starts??????when??????person??????B??????accepts??????the??????approval.??????

If??????person??????B??????reject",8,story
149,Connection BW - Initial Password,FPA34-7736,User Story,Considered,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Please describe your improvement request Make it possible that BW users can change their (initial) password into a productive one by using SAC only. If userid is locked on BW side, give a correct error message when refreshing a SAC dashboard. What is the opportunity/problem the request will address? we have SSO configured on our connection from SAC to BW. However, when the initial password is invalidated after x days (default 5 days), the user is no longer able to refresh his SAC dashboards with connection to BW. The user has no SAP GUI installed, so he can't change his password. So currently facing refresh issues with unknown cause ('datasource not availabe') and requesting a reset of the password very often to the support teams. What is the expected benefit? Avoids user frustration. Link to request: https://influence.sap.com/sap/ino/#/idea/261517",7,connection
150,Live connection to SAP Business Bydesign,FPA34-7737,User Story,Considered,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Live connection to SAP Business Bydesign Currently SAP Analytics Cloud supports two connections to SAP Business Bydesign. A report connector and odata both import data into SAC at a minimum refresh rate of 1 hr, however the analytics in BYD is real time but without the power of SAC. By having a live connection BYD customers can visualise data in real time. Data structures eg hierarchies will not have to be re-built and sensitive data will not be exported or duplicated. It would also open up allot more BYD customers who need real time visualisation. Link to request: https://influence.sap.com/sap/ino/#/idea/247564",7,connection
151,Extend number of characters for Dimensions DAC READ/WRITE Columns beyond 256 characters,FPA34-7493,User Story,In Progress,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"Please describe your improvement request In our Public dimensions, we have Data Access Controls (DAC) turned on, therefore we have the Read &amp; Write columns populated. We have import jobs running (from DWC or file transfer) into these dimensions which includes name of users for the Read / Write column. The issue arises is that we cannot fit more than 256 maximum character length in the Read / Write. We get an error ""Exceed maximum number of users supported"". Then the lines get deleted and we are unable to complete the import for this row. See screen shots: ""Screen shot 1 - 180383 2022 Cannot import READWRITE users 14Mar22.png"" ""Screen shot 2 - 180383 2022 Cannot import READWRITE users 14Mar22.png"" What is the opportunity/problem the request will address? We have more than 30 users listed (i.e. total beyond 256 characters) for these READ / WRITE. Therefore we need to extend the number of maximum characters What is the expected benefit? Able to import more than 256 maximum character length. Link to request: https://influence.sap.com/sap/ino/#/idea/280650",3,data
152,Support MTLS connection with Qualtrics,FPA34-7735,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"+*Customer Paint Point*+

Qualtrics supports mTLS authentication. While connection from SAC to import data from Qualtircs SAC does not support mTLS authentication.??????

+*Expected Enhancement*+

SAC connectivity to Qualtircs to support mTLS authentication

??????

https://influence.sap.com/sap/ino/#ide",7,connection
153,Data Export Service Open API for analytical model (live connection/model),FPA34-7724,User Story,Considered,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Low,"As user I would like to consume/export data via Data Export Service Open API

from SAC analytical model (Live Model top on Live connection). This give me opportunity directly consume data from model without need to create SAC Story, APP Design where data export from table widget is limited.??",3,data
154,Publication authorization,FPA34-7721,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"As an admin I would like to prevent modification and creation new STORY when user get publication rights.??????

Today its necessary add right??????*for Public folder*??????and??????*Private folder* without this is not possible create publication. Whith these rights user has opportunity create new story not only new publication. Its a security issue and be SOX/Audit complience issue.??????

This object rights is existing almost for type of object but STORY is missing. ??????

can you p",8,story
155,SAC Calendar - Mass Modify task details,FPA34-7733,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Please describe your improvement request Would like to mass add people (or a group) to an entire calendar of tasks in SAC Calendar What is the opportunity/problem the request will address? Today, have to go into each composite task to add an Assignee, Reviewer, or Viewer (or any other detail) What is the expected benefit? Would like to group calendar tasks and be able to perform updates such as assign Assignee, Reviewer, or Viewer. Link to request: https://influence.sap.com/sap/ino/#/idea/283172",4,model
156,Move planning model design & persistency to DWC or HC,FPA34-7655,User Story,Backlog,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"For real-life Planning use cases complexity, SAC is simply not providing enough flexibility in terms of data transformation &amp; modelling capabilities. The roadmap to improve SAC features in these areas has been postponed &amp; delayed time and again. Today, the data modelling features in DWC seem to have surpassed modelling capabilities in SAC + there's much more on DWC roadmap. (Versioning, time-dependent hierarchies,...) DWC also seems more powerful regarding connectivity &amp; data-loads which are typically required to feed planning models. So why not 'physically' move Planning and/or Predictive models &amp; datasets (all acquired data related features) into DWC or Hana cloud as the backend? And only keep SAC as front-end to the planning process, just like it is for most BI/analytics use-cases. What is the opportunity/problem the request will address? Provide strong modelling capabilities for planning use cases. Clear SAAS product direction: SAC for front-end, DWC or HC for data-modelling &amp; persistency. What is the expected benefit? Provide strong modelling capabilities for planning use cases. Clear SAAS product direction: SAC for front-end, DWC or HC for data-modelling &amp; persistency. Link to request: https://influence.sap.com/sap/ino/#/idea/262943",2,dwc
157,Improve Compact Display in Analytic Applications for Live BW Connection,FPA34-7732,User Story,Considered,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Please describe your improvement request Although in Analytic Applications, we can turn on and off compact display setting , this function doesn't work as expected and causes some incompatibility with ""Universal Hierarchy Display"" in Query. What is the opportunity/problem the request will address? Some problems: When we overwrite the Compact Display option in design time of the Application with setCompactDisplayEnabled(), this will be reset when we use getDataSource().setVariableValue() to change the Variable value of the query and even cause a bug, in which no dimension value is shown in the table except for the Total value. In image ""Problem1"", on the left, the table Compact Display was turned on by script on initialisation, while in the query, Universal Hierarchy Display is turned off. Then when we change the Variable value per Script, the result can be seen on the right side of the image. The drill function to expand a hierarchy to a specific level is also deactivated in Compact Display mode. It is not practical for user when, for example, we have 2 dimensions and the first dimension as a BW hierarchy turned on. In BEx, even with ""Universal Hierarchy Display"" turned on, we can still choose to expand hierarchy to a certain level. In Compact Display mode, the table axis is represented by a fictive dimension ""1DG_2"" and getSelection() on the table axis returns values that cannot be used. (Image ""Problem2"") What is the expected benefit? Bugs will be removed to improve usability. I think it should be better to let developer change the Compact display setting of table in design time, independent from the setting Link to request: https://influence.sap.com/sap/ino/#/idea/277643",7,connection
158,A future enhancement to greyed out BW unsupported feature in SAC Import Modelling Query Builder,FPA34-7731,User Story,Considered,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Please describe your improvement request Currently, even if BW query uses SAC unsupported feature still allowed to use those objects in SAC Modelling, which leads to a wrong output, and it is also difficult to track which object is causing this data issue, as the end-user doesn't have technical knowledge of the BW query What is the opportunity/problem the request will address? Most of the business key users or analysts doesn't have an idea of which are SAC unsupported BW features used in the query, they just start using all the objects they needed for their story, but finally they mostly get wrong result due to ignoring unsupported feature in SAC What is the expected benefit? Instead of just ignore the unsupported feature, I/my users recommend not allowed use those objects in SAC Modelling Query Builder, those objects should greyed out and not allowed to use it, tool tip should show message. Link to request: https://influence.sap.com/sap/ino/#/idea/284512",7,connection
159,Alerting feature when Cloud agent is not reachable,FPA34-7730,User Story,Considered,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Hi Team We have deployed our SAC cloud agent war in a shared tomcat platform and its maintenance (logging, monitoring, restart, etc.) is managed by container platform OpenShift which is in Linux, as the whole shared solution is managed by different solution groups and we as a SAC Platform team uses some space of it to deploy our cloud agent. (Maybe this setup is similar in many other customers also as many organizations mostly maintain a common central shared platform for all their web deployment) In this kind of setup, we have challenges in monitoring cloud agent status, if the cloud agent failed then we will notice it only when we have manually checked it in SAC -&gt; Administration -&gt; Data source configuration, as shown in the below screenshot. Since there is no alerting mechanism in this, so sometimes we have a long delay in fixing this issue as no one knows that the cloud agent is down, many times we noticed after the multiple import jobs failed. So we would like to ask about the possibilities of enhancing this feature to get an automatic alerting message as soon as the SAC Cloud agent is not reachable. So it helps us to act instantly to fix. Thanks in advance. Regards, Ganesha Link to request: https://influence.sap.com/sap/ino/#/idea/282469",8,story
160,Improve SAC Connection listing User experience ,FPA34-7359,User Story,Considered,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"*Customer Paint Point.*??????

Many large enterprise customers tend to have 50+ Connections. Current Connection list page showing as a plain list, with less interactivity. This becomes much more difficult to look for connections.

*Enhancement request.*
 * Find required connections with Search options.
 * Allow users to filter and look based on
 ** Model of Connections. ( Live, Import)
 ** Type of connection source. ( BW, S4HANA... )
 ** Owned by Me
 ** Shared with Me.

*Specific Customer Feedback*??????

Icons are not intuitive to differentiate LIve vs I",7,connection
161,Public dimension used as attributes in another public dimension - with nested Data Access Control,FPA34-7368,User Story,Backlog,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"Please describe your improvement request When creating a public dimension, it would be useful to have the possibility adding a property based on other public dimension (similar to Attributes in BW). In addition it would bring a lot of benefit to create public dimension referencing to another public dimension having the same master data. e.g. Company - Partner company, What is the opportunity/problem the request will address? less master data maintenance, no need to maintain same properties multiple times in different dimensions What is the expected benefit? easier data maintenance, Link to request: https://influence.sap.com/sap/ino/#/idea/266310",3,data
162,Import Jobs for Local Dimensions,FPA34-7698,User Story,Considered,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"As a modeler, I want to use data management with import jobs etc. for local dimensions as well",3,data
163,After value change in a filter a histogram brakes,FPA34-7722,Bug,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"I have a chart which reset time filter applied to it to ""March 2022"" if I select a diferenct value in Filter ""Customer ID"". No empty/zero suppression switched on. Sometimes when switch to ""Edit"" mode chart resets back.

Instead the chart (snipshot from ""edit"" mode)

!image-2022-06-17-15-09-39-796.png!

I can see??????

!image-2022-06-17-15-11-58-999.png!

??????

??????

Video [https://sap-my.sharepoint.com/:v:/p/alexey_dugarov/Ef60JHvX9HJHuDeTZpTrLWIBQCS2G8ErX54z_ht23y3mFQ?e=sggTVp]??????

??????

!image-2022-06-17-14-48-25-013.png!

??????

!image-2022",5,filter
164,Year in Axis in reverse order (Stacked Area chart type) ,FPA34-7728,Bug,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Very High,"While using this type of diagram, it show years in X-Axis in reverse order (2022 before 2021)",1,chart
165,[Prompting] Clear/purge/delete prompt values/answers previously provided,FPA34-7093,Backlog Item,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Today, when providing answers to mandatory prompts in BW (or even optional prompts) the last answers provided are retained and its not possible to 'clear/purge or delete' these values previously provided. This is expect behaviour.

However, this behaviour is problematic in a production environment that enjoys a good life-cycle management and when users are some how segregated.

The problem is that when the story is developed in 'development', the prompts answers are provided and of course remembered even when the story is transported to production. It means that when you open the story in production is shows the last prompt values provided, which are the ones entered in development. 

This is a problem. because the value used in development might be for say 'Belgium', but the story is being opened by a set of users from 'Croatia', it means the users in Croatia have to keep changing the default value. It makes it really annoying because the dynamic default values are also not respected.

This means, that the business problem could be resolved by this JIRA ER, or (on some occasions, but not all) by another JIRA where by the default dynamic values are respected (except for time based objects as per JIRA https://sapjira.wdf.sap.corp/browse/FPA34-2869), however its highly likely this JIRA will be needed in its entirety and especially when non-default dynamic variables are used.

There is a workaround, but its a little poor:

The workaround is to change the mandatory prompts to optional ones, then run the story removing all prompt values. Save the story. Then change the optional prompts back to mandatory. This workaround, apart from the obvious downsides, also has a number of limitations when queries are merged together. Its seems very problematic in such cases as two prompt screens are then shown. (its unclear if the two prompts screen issue is resolved once the prompts are set back to mandatory or not).

A bit more:
The feature was provided in SAP BusinessObjects BI Platform Web Intelligence and customers are expecting this to be present in SAC.

What is this request:
The request is to provide a means by which a story developer can clear/purge/delete prompt values/answers previously provided, even for mandatory prompts as much as optional prompts. The story developer should then be able to save the story with the previous prompt values having been removed.
",7,connection
166,More advanced customizing capability for SAC Charts,FPA34-7662,Epic,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Provide more advanced customizing capabilities based on the standard SAC chart. Customer/Partner can implement these features themselves?????? based on the provided interface:
 * Customizing chart tooltip
 ** Add hyper link
 ** Add percentage value (for stacked column /Bar?????? or Bar chart) (like in Donut chart)
 * Customizing the dimension value on the chart
 ** e.g, in BW backend the v""not assigned"". It should be shown ""others"" in the chart
 * Configure the conditional formatting by using different custom symbols: [https://influence.sap.com/sap/ino/#/idea/279520]??",1,chart
167,Derive exchange rate for missing currency combination from a different combination in currency table,FPA34-7445,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Please describe your improvement request In SAC, the currency table should be capable to derive exchange rates for missing currency combinations just like TCURR in BW. When we load rates from BW TCURR to SAC, not all possible combinations are available in BW as its capable of calculating missing rates indirectly. This will lead incomplete/missing rates in SAC - so SAC currency table should have capability to calculate rates for missing currency combinations indirectly Eg: We have some posting done in USD and want to convert them to GBP. But currency table in SAC is missing rate for this combination from USD to GBP. Instead will only have USD to EUR (first fx rate) and EUR to GBP (second fx rate). What is the opportunity/problem the request will address? No missing rates in SAC if integrated with BW TCURR What is the expected benefit? 1.Good integration between BW TCURR and SAC 2. Number of currency combinations can be lesser Link to request: https://influence.sap.com/sap/ino/#/idea/269485",7,connection
168,Verion Management in Modeler (Version Dimension),FPA34-7726,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"* Allow the creation/deletion and maintenance of versions in the modeler?????????
 * Maintenance needs:??????
 ** Display/deletion/publish of individual Private versions created per Public Version and User?????????
 ** General overview of the usage of private versions?????????????????????
 ** Display of the version size (editable size)?????????
 * Rename Versions
 ** Rename of Actual Version?????????
 ** Support for ?????????other????????? characters (e.g.??????Cyrillic)???????????????
 * Multi Language Support for Version Text (Versions do not have a description field today)?????????
 * Reassigning the category?????????
 * Version History ????????? should not use User ID (Display Name is preferred)?????????
 * K??????rcher/RedBull: request to have insights into the end user private version to be able to??????troubleshoot and resolve issues/conflicts",9,dimension
169,"Version Control with merge option (Stories, Applications - support multiple dev tracks)",FPA34-7725,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Support version control of content stored in SAP Analytics Cloud whereby artefacts (Stories and Applications) can be ?????????checked-in????????? and ?????????checked-out?????????. There should be the option, at the time of check-out, to ?????????merge????????? the artefacts . Merge means combining the source (the revision within Version Control) and target (the revision in SAP Analytics Cloud) artefacts such that ?????????pages?????????, ?????????tabs????????? or ?????????components????????? are overwritten (when the source and target match on their IDs) and added when the source ID can?????????t be found in the target.


The challenge to update artefacts (stories, applications) when multiple updates are needed. The problem is amplified when multiple updates are needed by different teams and when the same artefacts has needed urgent updates outside of the normal life-cycle development to fix a production related issue, but before the normal development cycle was completed. Thus, it?????????s a real challepdates made by different teams. The different teams exist because there?????????s a need to ?????????correct????????? current issues, and well as enhance additional features and these need to be done in parallel. 


To enable the support of both correcting artefacts and the development of new features of SAP Analytics Cloud artefacts (mostly stories and applications) without the need to stop one to allow the other. It will also reduce the fear of overwriting and losing the development effort made by teams working on the same content in parallel. Today, the development of artefacts doesn?????????t allow multiple ?????????tracks????????? of development and this feature would start to allow this to happen and thus unlock the business from development freezes so to avoid regression. It will dramatically improve the agility of development teams supporting SAP Analytics Cloud and thus the adoption and c",8,story
170,"Planning - dimension combination rule, 5 rules per model, 5 dimensions per rule, 3 million combinations per rule",FPA34-7723,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"Requirement to expand the number of dimension rules, size of the rules, and complexity of each rule.

Target would be 5 rules per model, 5 dimensions per rule, and 3 millions combinations per rule.

??",9,dimension
171,Collection of proposed enhancements to Validation Rules,FPA34-7389,Epic,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,nan,9,dimension
172,Dynamic filter on time ,FPA34-7685,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"The customer is using filter on current date to drive all time calculations and filter at char level. The business process required to have a dynamic value for this filter(no current date, but a date setup dynamically or retrieved from a different query).

Use-case:

The data for actual month need approval from controllers, so until 7 of month they need to see the data from previous month and after 7 the data from actual month.

??????

??????

",5,filter
173,Enhance PlanningModel.updateMembers to support Version dimension,FPA34-7536,Backlog Item,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"As part of the our application for planning customization, we are storing planning configuration in the version dimension.

!image-2022-04-14-11-46-27-228.png!

We would like to be able to store and *update* planning configuration in the Version dimension via our configuration application.

However it is currently not possible to update properties of the Version dimension, as only generic dimensions are supported.

can you please extend the update possibility to the Version dimension as well

best regards,

Simon",9,dimension
174,Validation Rules - # member shoud support validation rule with All members of MATCHED dimension,FPA34-7679,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Please describe your improvement request We want to enhance Validation rules. ""# - Unassigned"" member of a reference dimension shoud support Validation Rule with All members of MATCHED Dimension. What is the opportunity/problem the request will address? We often use ""# - Unassigned"" member on a dimension, let's call it ""dim A"", when this dimension ""dim A"" is not relevant for the current key figure. In this case, any validation rule constraining what members of reference dimension ""dim A"" can be combined with what members of the MATCHED dimension, let's call it ""dim B"" is NOT RELEVANT as the usage of ""# - Unassigned member"" of dim A means that we don't care about dim A for the current key figure. So why applying the validation rule in this case ? In this case, we should be able to easily tell to SAC that ""# - Unassigned member"" of dim A (reference dimension) can be used with all members of dim B (MATCHED dimension). The current behavior of SAC authorizes ""# - Unassigned member"" of dim A (reference dimension) ONLY to be combined with dim B members (MATCHED dimension members) that are valid with the other members of dim A ! There is a kind of useless contraint here... The current workaround consists in creating a fake member on reference dimension (dim A) combined with the list of all members of the MATCHED dimension (dim B) (even if there are thousands of members on MATCHED dimension...). This not a good approach. Quite uneasy to maintain. What is the expected benefit? More easy and more logical use from a business point of view, of validation rules in case of usage of ""# - unassigned"" member. Thanks Link to request: https://influence.sap.com/sap/ino/#/idea/269533",9,dimension
175,Enable property edit from table,FPA34-7718,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Please describe your improvement request On a table, right click on a dimension header, under the menu add option to ""allow edit properties"". If ""allow edit properties"" is checked, users are able to directly update values of visible properties if they have dimension edit access on security role. This should use the edit property API that is already allowed in Analytics Applications. What is the opportunity/problem the request will address? Allows users to track and manage notes associated with ""line item"" type data such as new hires and retain them through various stories without relying on precise intersections when using comments. This fills a major gap in commenting functionality. What is the expected benefit? Ability to use properties as comments but have them persist. This is useful particularly for headcount planning, tracking project, tracking line item expenses, etc. Link to request: https://influence.sap.com/sap/ino/#/idea/258904",3,data
