Summary,Issue key,Issue Type,Status,Project key,Project name,Project type,Project description,Project url,Priority,Description
Ability to add attachments on a story in view mode ,FPA34-7574,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"+*Business Context :*+

Attaching supporting documents while preparing a budget plan is a must闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?for public sector workers, e.g. they can attach legal documents, internal guidance documents, etc.

闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

*+Requirements闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?:+*

1.Ability to attach any number of documents (of different types like PDF, doc , excel , power point , JPG etc) to each form instance (screenshot in the next slide) / story from the local system

2.Ability to view the attachments any time闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?if the user has access to the form (SharePoint URL/hyperlink is not recommended due to闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?complex access issues ) PS : A document storage repository in SAC will be highly recommended

3.Ability to view the document by the reviewer/approver during the approval process闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

*+SAC Limitations :+*

-Attachments are not supported at the story/page level , but only the calendar task level . That too only from the SAC file repository , not from the local system

闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

Please find the attached"
Unable to filter story using Version attribute,FPA34-7100,Backlog Item,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,customer is looking to use version attributes to filter stories - we are currently able to filter this way with other dimensions and customer would like this capability to be extended to the version dimension
 Create one import connection pointing to multiple database in the same host,FPA34-7572,User Story,Considered,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Please describe your improvement request The requirement is we have to create single SQL Data source import connection pointing to multiple databases residing in the same host. But, unfortunately, while creating the connection and using multiple database names separated by ;, or even tried with , but we are getting an error. What is the opportunity/problem the request will address? In some cases, the user's data will be available in different database tables/views that are reside on the same host, in those cases if we are able to create a single connection including both DB's then will help to easily include a single model. Otherwise, we have to do either data blending in Story to combine data between two DB's or combine data in the model level. What is the expected benefit? Import model development will be easier. Link to request: https://influence.sap.com/sap/ino/#/idea/276336"
Select/deselect click combination between charts should work in Linked Analysis,FPA34-7571,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Hi SAC team,

Here is the scenario,

e.g. we have multiple numeric point charts using the same key figure or measure, each chart has its own static filter applied with different values, and all these charts have Linked Analysis to cross tab.

In this kind of use case, we should not have two clicks on the same widget (one for apply filter and the second click for clear filter) before clicking on the next chart. Once we clicked on the second numeric chart it should reset the first filter (if the filter has already been applied) and apply only the second filter.

The two clicks on the same chart lead to a confusion for users and it is not the standard way the user used their analytics in the past in other analytics tools闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

We would need, e.g. in the case of linked analysis, one-click should filter the data and the next click to another widget should clear existing filter and apply new relevant filter.

Might be this change also a problem for cascading linking, So SAP should provide an option to  the choice of cascading or not. So based on that filter selection should behave

Here is for SAP incident for your reference.

[https://launchpad.support.sap.com/#/incident/pointer/002075129500007160822021]"
To correctly download Report Headers from the SAC Story into Excel. ,FPA34-7570,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"When a report is exported to excel from SAC the column headers are downloaded into row 2 incorrectly. All the headers should be downloaded into row 1.

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

To correctly download the SAC Report into Excel.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

_What is the expected benefit?_

It will eliminate manual effort by the user to rearrange the 1st and 2nd row of the downloaded Excel copy of the SAC"
Chart Alignment when setting chart scaling bar width,FPA34-7569,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"When you set the bar width via chart scaling the affected charts are aligned in the middle when there is additional canvas space see screenshots below. I would like to have the option to configure the alignment witting the chart.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

!https://influence.sap.com/sap/ino/xs/rest/common/attachment_download.xsjs/74803!

!https://influence.sap.com/sap/ino/xs/rest/common/attachment_download.xsjs/74"
Dynamic text with formula,FPA34-7568,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"_Please describe your improvement request_

The dynamic text is widely used to give context to a report. However, the capabilities are limited. Can we have a formula-based dynamic text?闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

For example, I can link it with story filter selection. But lets I want to do some more processing to it before displaying it.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

One of the scenarios could be a story filter is returning Financial Year selection, Jan 21 based on a financial year enabled model with the start of the year to denote the Year. Now in the report to give an actual context to the user, I would like to manipulate the selection string to make it Jan 22.

In Webi, the user response function returns the selection made by the user, and then I can further process it by webi formula. So in the above example, I can covert the date string above to date using todate and then add 1 year and format it back to month and year and display it.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

This is very critical when SAC is getting projected as a tool for enterprise reporting where theneed a lot more text to show the context based on the input made on the screen. So some date manipulation functions, string functions, and numeric functions which work on cell formulas would be a necessity

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

Enterprise reporting requirements闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

_What is the expected benefit?_

Better u"
Financial Year Representation,FPA34-7567,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"_Please describe your improvement request_

Today, when we use the SAC model with the financial year, enabled, I have 2 options to represent the year. Staring year and ending year. Can we also have an option to show combo years (Like 2021-22)?闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

For countries that follow the calendar year as a financial year (starting from Jan), there is not much impact as the representation doesn't confuse the year. But countries like India, which follows (Apr to March) and I choose the start of the year for display, then it really confuses the user. For example for the years 2021-22, Jan 22 will be displayed as Jan 21. A major confusion for the user when they the read statement. I can use Period, but many users prefer the actual month name.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

This is all the more confusing when I use a dynamic text where I link it with a story filter which allows the user to choose month and year for a sales report which shows a comparison of sales growth over the month of Jan. If I choose Fin Jan 2022, the dynamic text willn 2021.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

This confuses the user as they think they are seeing the report for Jan 2021. But actually, they are seeing the report for Jan 2022.

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

User experience闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

_What is the expected benefit?_

Bette"
Manage order of element in a waterfall chart,FPA34-7566,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"We have an enhancement request regarding the orders of displays of elements in a waterfall chart in a story.
Indeed when we use a waterfall chart the members of dimension Version are displayed in the order they are in the dimension.


Two workarounds are possible: 1. Use some symbols in versions names to ""force"" sorting (闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂? 闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂? 闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨堕弻锝夊箣閿濆憛鎾绘煛? ...): but the order is not dynamic once decided.


2. Create technical accounts (measures) with adapted names to map the values of the version.

These 2 workarounds don't satisfy us because users want to modify the orders of display themself and not use a technical parameter to do this.


We want to have the functionality to order members displayed in a chart and especially in a wa"
Waterfall Charts - Possibility to add Measure and Dimensions instead of restricted measures,FPA34-7565,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"_Please describe your improvement request_

With the current product capabilities, restricted measures should be created in order to make waterfall charts meaningful (e.g restricted measures to determine the nature of the operating expenses to come up with EBIT). Adding dimensions is useful for drill down purposes only. It would be useful and more powerful to be able to add one measure (e.g expenses) and dimension members (e.g. section: payroll, education, travel, etc.) and come up with the waterfall chart.

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

Avoid creating too many (unnecessary) restricted measures which make the story slow.

_What is the expected benefit?_

Powerful and flexible reporting without creating unnecessary measu"
Weekly Filter on the the story,FPA34-7564,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"One of my customers has a requirement to provide a weekly filter on the SAC story which should provide an option for users to select ""Weekending Saturdays"" with the Date mentioned for the selection.

Currently, when we create a filter for Date with Weekly Granularity, we just get CW1 2021, CW2 2021 which will not show the date for the week ending.

Also, we see that SAC follows a week starting on Monday and ending on Sunday. Is this changeable as the user wants to report for the week ending Saturdays and not Sunday?

Please refer to 708868 / 2021

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

Flexibility to use the filters on customers' calendar needs

_What is the expected benefit?_

Enhanced usage of the pro"
Hierarchy Story Filter- Hierarchy members incorrect sorting.,FPA34-7563,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Users are not able to sort the order (alphabetically) on the Hierarchy filter in SAC Story. The order is defined when you import the data into the model and this sort is not working correctly in the Story.

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

Hierarchy Story Filter- Hierarchy members incorrect sorting.

_What is the expected benefit?_

Significant improvement of user experience if Hierarchy Filter Members are in the correct alphabetical orde"
Filtering the input control list of values dynamically,FPA34-7562,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"_Please describe your improvement request_

This is a request to provide more dynamic filtering of the input control list of values. For example, I want to provide an input control for product selection and in the input control, I want to show only finished goods (Material Type). Today I don't have a facility to enable this as I have to either show all the products or let the user figure it out. Or configure a pre-defined list. Both these approaches are not efficient.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

So I am proposing the following feature for Input Control. For discussion let's use Product Dimension with a property Material Type (Finished Goods, and Semi-Finished Goods). Here I want to provide an input control to show only with Material Type Semi Finish Goods.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

So while creating/designing the Input Control, let the user choose the dimension/property and then give an additional option to restrict the LOV with the following options:

By Property. Here allow the user to choose by Material Type and list the properd let him choose one or more property values.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

By Story Filter: Let's say I have a story filter that allows the user to choose the material type and I want to filter the Product Input Control based on the material type selected on the Story filter. I should be able to choose a property and then link it with the story filter.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

Similarly, I have a hierarchy node in the story filter on product dimension, I should be able to link the input control to restrict the products based on the node selected on the Story filter.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

From an application designer: I should be able to restrict the input control list of values based on a property/hierarchy node based on a script variable.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

Explained above

_What is the expected benefit?_

Better"
Make global bookmarks accessible via URL -like personal bookmarks,FPA34-7561,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Make global bookmarks accessible via URL. Currently, personal bookmarks can be accessed via the URL. URL can be seen when you want to share personal bookmarks. The URL of the global bookmark is nowhere to be found. We need it.

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

We want to add a hyperlink to the story page which would direct users to the global bookmark.

_What is the expected benefit?_

Users see the link on the page and don't need to know that they need to click ""Bookmark icon"" on the toolbar first."
Text wrapping / Line breaks should be considered in dynamic text,FPA34-7560,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"_Please describe your improvement request_

When using dynamic texts with a text that has a linebreak (\n) a dynamic text should display this linebreak. At this time this only gets ignored.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

So far it is difficult to display large dynamic text elements in SAC. This will enable better visualization of texts.

_What is the expected benefit?_

Better user experience闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

Better visualization of tex"
Make mouseover in widgets optional,FPA34-7559,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"At the widget level, it should be possible to activate/deactivate mouseovers. For example, it should be possible to disable the display of a threshold (see attachments)

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

Sometimes the mouseover does not make sense or will confuse users.

_What is the expected benefit?_

Better user experien"
"Ability to customize ""Current Date"" story filter with offset",FPA34-7558,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"{_}P{_}lease闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儮鏋杄scribe your improvement request_

This was already raised闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?Request ID: 249616 but was closed without a solution provided? the solution does not exist. Raising it again for the same request.

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

When opening a story with a filter on the time dimension which is co""System Current Date / Period"", the system - as expected - filters on the ""System Current Date / Period"" or respectively on the configured granularity. But often, the desired view should display the data of the last (closed and completed) month. The ability to define an offset of -1 addresses this ""issue"". We could even push the idea further and imagine a calendar, where closing dates could be maintained and ""Current Date"" would respect.

闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

The text should also be renamed to Reporting Date or allow text to be modified.

_What is the expected benefit?_

1) As Management reports are retrospective, it allows the dashboard to default to the previous month without any user intervention

It is now inconvenient for them to do two steps, uncheck the default to system date then choose the previous m"
Two Y axis in bar/column charts,FPA34-7557,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"_Please describe your improvement request_

We need the possibility to have two Y-axis in bar/column charts. This feature is already available in line charts.

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

We want to display absolute (higher) values with percentage values in the same chart. The percentage values should be displayed as triangles which are possible in a bar/column chart in general. Due to the fact that it's not possible to have two Y-axis the triangles are displayed at the bottom of the column (see chart [1] in attachment). A combination of column and line charts isn't a solution. The used dimension isn't a time dimension so a line chart doesn't make sense at all. But the display itself looks better there due to the fact that it's possible to have different scalings on the two Y-axis (see chart [2] in attachment). Chart [3] in the attachment shows the look when the scaling of the measures is in the same range (all percentages in this case). We want to achieve a similook using different scale ranges.

_What is the expected benefit?_

Close the gap for measures with different value ranges in bar/column charts which shouldn't be displayed as a line chart. This feature is already available in line charts."
Make bar width smaller than 5px / adjust chart to be displayed without horizontal scrollbar,FPA34-7556,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"At the moment the minimal bar width of column/bar charts is 5px when assigning the width manually. Even worse, when making a chart slimmer, the column bar width will stay the same and a horizontal scroll bar is added. Horizontal scroll bars are a no go in dashboards. These are just not acceptable. Additionally, exporting a story with horizontal scroll bars is not possible either. Instead, the bar width of a chart should be adjusted, so that the chart will fit in its panel completely without the need for a horizontal scroll bar. If this can not be done automatically, at least it should be possible to set the bar width to less than 5px in the scaling options.

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

Slim charts are not possible. Especially for highly aggregated dashboards you often need this.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

_What is the expected benefit?_

The basic function for any front"
"Consistent Sorting / ""Top N"" on measure input control",FPA34-7555,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Description
When using a measure input control in a table, setting a sorting by value or enabling a ""Top N"" ranking is not persisting when switching from one measure to another with the measure input control.

It reduces very much the efficiency of the great measure input control as the default story layout is gone in this case.

It would be great if the sorting or the ""Top N"" ranking could be set at this measure input control level and would persist when switching between the measures available for user selection."
Disabling hierarchy drill down for dimensions/measures,FPA34-7554,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Description
We should be able to block the drill down option for specific dimension-measure combinations in tables.

We often want to have more than one measure shown in the same table where we want to show a hierarchized dimension but we don't want to be able to drill down for both dimensions at the same time.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

If we work on a Canvas page, we can place a blank object on top of the dimension drill-down button, but it only works in Canvas, and as long as we cannot scroll in the table, given we want to be able to drill down the other measure for said dimension is close to impossible.

What I would expect is the possibility to block the drill-down option through styles or page rules, so I can greatly increase the display capabilities of a table. Specifically, I would like to have the option to remove/block the drill-downs as shown in the attached pict"
Header and Footer for Responsive pages,FPA34-7553,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"_Please describe your improvement request_

We need the Responsive page for a story with a header and footer enabled like Canvas Page.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

_What is the opportunity/problem the request_闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂佺媭鍨崇槐鎺斾沪閼恒儳寮竔ll address?_

Most of our stories are developed with a Responsive page and now we need to add a header and footer as a template like Canvas. So that we will keep ready the page and any new story we will add the same template for all.

_What is the expected benefit?_

It will enhance our look and feel. Currently, we are adding manually header and footer by adding a lane.

Current look:-

!https://influence.sap.com/sap/ino/xs/rest/common/attachment_download.xsjs/75938|width=871,height=332!

If the page itself has a separate section as a header and footer will be good.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?

!https://influence.sap.com/sap/ino/xs/rest/common/attachment_download.xsjs/75937|width"
Edit Axis for Radar Charts,FPA34-7552,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Description
There are use cases where the scale of a measure is well defined, e.g. between 0 and 100 for percentage values. Especially for percentile values, this would be important.

Radar charts are appropriate for the comparison of entities in different aspects. Furthermore, radars are good for identifying advantages and disadvantages in the visualized aspects.

Because the concrete values are not always helpful (e.g. in the case of many entities compared), the position of a value on its axis could be used. But the scale is being defined dynamically.闂傚倸鍊峰ù鍥р枖閺囥垹绐楅柟鐗堟緲閸戠姴鈹戦悩瀹犲缂?Edit Axis"""" is not possible for Radar Charts."
