Summary,Issue key,Issue id,Issue Type,Status,Project key,Priority,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Version / Delivery,Component1,Component2,Component3,Component4,Component5,Component6,Due Date,Description,Votes,SignedData
system monitor : enhance the monitor to follow up data history modifications per user and relevant model dimensions ,FPA34-4886,6853024,User Story,Open,FPA34,Medium,D057211,I050928,I050928,11/22/2019 16:50,3/4/2022 14:32,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",System Administration ,,,,,,"The customer VINCI ENERGIES would like to have in the system / monitor a dedicated tab to follow up on history modifications. The tab should be added when the Audit option is selected in the model. The monitor should be able to follow up the modifications per user and per dimensions of the model (category, versions, accounts). If this new feature would be considered we could set up a meeting with the customer to define more in details the expected retrieval widget.
",1,1
"""Planning Process"" - Security control",FPA34-5065,6982561,User Story,Open,FPA34,Medium,I818705,I034563,I034563,1/3/2020 6:05,3/4/2022 0:02,9/29/2022 9:59,1/3/2020 6:05,2020.Q1,,Collaboration/Commenting,,,,,,,"In SAC, any user including basic BI user can create calendar process/task and assign it to other users as performer.  As a admin,  I would block most of my un-authorized users, from creating calendar process/task as un-authorized created task may confuse users who has been assigned as assignee or reviewer. 
I need a dedicated task in Role configuration to give create/update/delete/execute access  to users who really need it. ",1,1
Calendar Tasks & Processes- Labeling to be used in filters,FPA34-6026,8172185,User Story,Open,FPA34,Medium,I818705,I342166,I342166,8/21/2020 2:01,3/3/2022 23:57,9/29/2022 9:59,8/21/2020 2:01,,,Collaboration/Commenting,"Planning (Allocations, VDT, etc.)",,,,,,Customer is seeking ability to be able to label calendar tasks & processes. and then be able to use these as filter criteria,1,1
Restrict Time-based Variance To Day Granularity In Previous Year,FPA34-6167,8356338,User Story,Open,FPA34,Medium,I051547,I330244,I330244,9/24/2020 8:20,3/3/2022 13:18,9/29/2022 9:59,9/24/2020 8:20,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"The customer wants to compare the data 2020-August VS 2019-August and 2020-September VS 2019-September. If it is a complete month(August), there is no issue. But when the current month is not complete(September), the result cannot satisfy the customer.
 *Example:*
 There are only 15 days of data in September 2020. If we compared it with the whole month of 2019-September, the result shows an obvious decline which cannot give meaningful insight to customer. The customer would like to only compare the data from??9/1 to 9/15(2020) and??9/1 to 9/15(2019) even we have all the data of??September 2019.
*Solutions we tried so far:*
 # Restricted Measure: cannot compare(add calculation) on top of the current date and PY current date: seems a??granularity issue
 # Variance: don't support day granularity",2,1
CE: (Modeling) Datasets,FPA34-4788,6799049,Epic,Backlog,FPA34,Medium,D035331,D035331,D035331,11/11/2019 10:55,3/3/2022 7:05,9/29/2022 9:59,,,,Data Integration,,,,,,,,1,1
Rolling Forecast - Adding additional dimensions,FPA34-4735,6766306,User Story,Considered,FPA34,Medium,I818705,I818705,I818705,11/1/2019 19:08,3/3/2022 0:22,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Currently there is no way to add additional dimensions into SAC rolling forecast which prevents delivery of more sophisticated planning models.?? Providing additional dimensions/elements as part of the forecast layout would address scenarios such as the use of an audit trail dimension where the user plan data should default to an input slice, however the Actuals data may come from a variety of sources.",1,1
Restrict publishing of (shared) private version data updated by a BI only user ,FPA34-5773,7728338,User Story,Considered,FPA34,High,I818705,I818705,I818705,6/1/2020 20:41,3/3/2022 0:16,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,," [^Input with shared private version for BI user.mp4] Currently it is possible for a BI user to update data in a shared private (explicit) version which can then be published by an Admin or other planning user with authorization.?? ??This allows customers to effectively circumvent or bypass the need to buy planning licenses to complete and consolidate plan data.?? This is clearly not expected behaviour, and I believe changed at some point over the last couple of years (as I recall testing) this specific use-case some time ago.?? ??Note that this behaviour seems to occur whenever an explicit private version is available to the BI user and another user which has planning rights.?? ??This includes the case of Input Tasks (video example attached), which utilize a special and dedicated private version.?? ??In the Input Task case, we probably should restrict the non-planning user from even being an assignee in the Input Task process, but if not we should at minimum restrict the data publish where the BI user makes changes.

??

To replicate the general (non-Input Task) scenario you will need multiple users(User 1 = Admin or planning user, User 2 = BI User) and should:
 # Login with User 1
 # Open a story which has a table referencing a planning model (which is acceptable to both users)
 # Create an explicit private version (which will then appear in the table) and share that version with the BI user (giving them Read and Write access)
 # Login with the User 2 and open the story referenced in step #2
 # Make a change to the explicit private version created in step #3
 # Revert back to User 1 and revisit the same story
 # Publish the update private version

??

We need to address this issue to adhere to expected capabilities by license type.",1,1
Support Allocations with multiple hierarchies,FPA34-5634,7704533,User Story,Considered,FPA34,Medium,I818705,I818705,I818705,5/27/2020 14:51,3/3/2022 0:07,9/29/2022 9:59,5/27/2020 14:51,,,"Planning (Allocations, VDT, etc.)",,,,,,,Currently the Allocations designer only supports/displays the primary hierarchy for a given source/target dimension even where other hierarchies may exist.?? We should fully support selection of alternate hierarchies where they exist.,2,1
Limitation where a dimension can only be used in 10 Dimension Combo Rules is CLEARLY inadequate ,FPA34-5443,7422612,User Story,Parked,FPA34,High,I818705,I817109,I817109,4/5/2020 20:34,3/3/2022 0:00,9/29/2022 9:59,,,,Data Integration,,,,,,,"The limitation where a dimension can only be used in 10 Data Validation - Dimension Combination Rules is CLEARLY inadequate in light of the use of Public Dimensions being used in multiple models for varying purposes.

The easiest example to see where this limitation is way too low is use of a Company dimension.

That dimension which may also be integrated to the customer's S/4 system will have for example,??

Rules for:

Cost Center-Company

Profit Center-Company

So you would be limited to using the Company public dimension in only 5 models.

In our main planning demo where we have purpose built models of planning I had to leave out the Cost Center-Company rule in a lesser used model as I was already at the limit of 10.

??",1,1
Add member - Better security control on add member feature ,FPA34-5541,7547608,User Story,Open,FPA34,Medium,I818705,I034563,I034563,4/29/2020 8:04,3/2/2022 23:48,9/29/2022 9:59,,,,Modeling ,"Planning (Allocations, VDT, etc.)",,,,,,"To allow user be able to add new member when add new lines in planning grid, he need to assigned authorization to maintain dimension.??

As an admin, I need to allow end user to create new member during planning process, but at the same time I also want to restrict user on what he can do in dimension, for example, he should NOT be able to delete to change other members which he is not supposed to change.??

??

Probably there should be a new task in security which only allow user to add member from planning grid, but NOT in dimension maintenance screen.??

Further more, it would be great if we can have master data security as well.????",1,1
Mass data entry possible when using properties in a table,FPA34-5739,7831238,User Story,Open,FPA34,High,I818705,I050928,I050928,6/18/2020 13:55,3/2/2022 23:43,9/29/2022 9:59,,,,Modeling ,"Planning (Allocations, VDT, etc.)",,,,,,"When a Property is included in a table, the Mass data entry functionality gets disabled.
This feature is requested for Planning customers. Properties of the dimensions of the model are widely used when designing/configuring data collection stories.
This limitation from an end user perspective is similar to the Comment limitations defined in the following jiras : FPA34-4331, FPA34-3700, FPA34-4903, FPA34-5276

Those limitations being lifted for the Comments in Q1 2020, could it be possible to add the mass data entry option to this limitations removal?

Thanks for your feedback

FYI [~I049494] [~I050730]


",1,1
Limit access to creating Private Versions using roles,FPA34-5262,7288891,User Story,Considered,FPA34,Medium,I818705,I867731,I867731,3/10/2020 21:53,3/2/2022 23:33,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Need to turn off or on the ability to ""Create a Private Version"" for different roles.

Chevron would like this ability to only be available to a few select users.",1,1
Changing dimensions in planning should trigger reposting,FPA34-5642,7707357,User Story,Considered,FPA34,Medium,I818705,D073471,D073471,5/28/2020 5:57,3/2/2022 23:28,9/29/2022 9:59,5/28/2020 5:57,,,"Planning (Allocations, VDT, etc.)",,,,,,,"When changing in the planning table a dimension for a record, an automatic reposting should be triggered.

??

Currently Key Figure Values can be changed via Input:

??

!image-2020-05-28-15-54-38-588.png!

??

Is there a way to change dimension values and trigger a reposting for the effected data record?

Eg:

I change the item number for the above records from 1, to 2.??

In this case for the records1, reverse image should be created, and the same value shoould be posted with item number 2.",1,1
"Capabilities focused on creating, tracking and updating plan line-items",FPA34-5251,7262244,Epic,Open,FPA34,Medium,I818705,I818705,I818705,3/6/2020 0:45,3/2/2022 23:28,9/29/2022 9:59,,,,,,,,,,,"There are several capabilities being requested related to members on the fly, to enhance that capability and support a broader set of scenarios including line item detail and zero based budgeting.",1,1
issue with 'Add member' and dimension properties,FPA34-5220,7224686,User Story,Considered,FPA34,High,I818705,I857391,I857391,2/27/2020 0:23,3/2/2022 23:27,9/29/2022 9:59,,2020.Q1,,"Planning (Allocations, VDT, etc.)",,,,,,,"During Planning table build - when a Dimension *Property* is added to the table, it disables the ?€?Add member?€? functionality.??

Please refer to the attached email thread with screenshots to recreate the issue.??

This we realized during PoC build for Boston University. This feature might impact many other customers as it relates to creating a new row for Planning.

??",1,1
Free form text for line items,FPA34-5181,7171224,User Story,Open,FPA34,Medium,I818705,I817520,I817520,2/15/2020 17:24,3/2/2022 18:18,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Our customer Tibco has raised the following request:

??

Users need a way to type free form text to describe their line items. Presently, the comment functionality requires association with cells that contain data, which is a step back from BPC capabilities where you can send comments to any combination (most other planning system vendors have a version of this capability). Furthermore, comments are always to the right of the cell that it is associated with, which again means loss of functionality vs BPC where you can design and position comments to function as *line descriptions* (our naming for this type of comment), illustrated below (see attachment).

??

??",3,1
Planning - Simulation on currency rates,FPA34-5061,6971042,User Story,Considered,FPA34,Medium,I818705,I034563,I034563,12/24/2019 8:17,3/2/2022 18:02,9/29/2022 9:59,12/24/2019 8:17,2020.Q1,,"BI (Charts, Explorer, Geo, Input controls, etc.)",Modeling ,"Planning (Allocations, VDT, etc.)",,,,,"In SAC planning, currency rates are maintained statically in currency table for each model.?? In additional normal currency conversion capability in SAC, as a financial planner, he would like to simulate on currency rates to understand how currency rate changes would impact the business in terms of net revenue and margin.??

??

Basic asks:??
 * An input control on selected rates, allows user to either input a rate directly or adjust rate in a slide bar??
 * In planning grid with cross calculation on currencies, user should be able to see the translated currency value changes with the rate change
 * Rate could be added to VDT widget, user could change the rates in VDT same as other driver and see the impact along nodes in tree.??",1,1
Calendar task - Configurable notification on due task,FPA34-5290,7323093,User Story,Backlog,FPA34,High,I818705,I034563,I034563,3/18/2020 1:55,3/1/2022 23:25,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Today, when create a calendar task, it's already possible to day, when create a calendar task, it's already possible to specify when to send notification before task due.??

In some customer scenario, it's often happen that task is not complete after due time, as a process owner/admin, I would like to able to send notification for due task. Possible options:??
 # Pre-configure how often( e.g. every day or every x hours) to send notification to assignee?? until the task is completed.??
 # Centrally sent reminder notification on multiple due tasks(e.g. under one parent process).?? Current on-the-fly notification can be sent by task, it's too cumbersome for large scale of planning processes.??

??

??",2,1
Cannot select range filter for Date in Cross-Model Copy and Copy action,FPA34-5202,7200217,User Story,Backlog,FPA34,Medium,I818705,I064164,I064164,2/21/2020 18:30,3/1/2022 23:23,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Dear colleagues,

??

We have a business requirement of copy specific date range of data from one Model to another Model or from one version to another version. The from date and to date need to be selected via Data Action parameter or read from Version property.

??

I attached a screenshot shows that with defined DateFrom and DateTo parameter, we can only choose either one to filter source data. Is there anyway to pass in the range filter to achieve the requirement?

??

Best Regards & Thanks,

Lilu.",1,1
Create Global Variable for Advanced Formulas steps,FPA34-5285,7315797,User Story,Open,FPA34,Low,I818705,I818705,I818705,3/16/2020 17:57,3/1/2022 23:02,9/29/2022 9:59,3/16/2020 17:57,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Currently we can define a parameter which is pass from the Data Action, and useable throughout each step of the Data Action, however we do not have the concept of a global variable within the Advanced Formula syntax which can be passed across different Advanced Formula steps.",1,1
New Lines - Paste dimension combination from Excel or other grid ,FPA34-5230,7244369,User Story,Considered,FPA34,Medium,I818705,I034563,I034563,3/3/2020 5:34,3/1/2022 22:58,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"With 'Add member' feature, user can create new dimension combination in a new line. But in the current workflow, user has to select(or type) one member after another for all dimensions in row before he can enter value.?? For use cases to enter multiple lines, it's a very time consuming process.??

??

Requirement:??

User should be able to copy existing combinations(multiple lines) from an excel worksheet or other grid(same story or different story in other browser tab) and paste directly into the planning grid as new line.??

This user experience is very much consistent with normal user experience in Excel itself.??

This requirement is also closely related to??FPA00-20457.??",2,1
Allow insertion of New Lines in combination with Advanced Filters,FPA34-5666,7735250,User Story,Considered,FPA34,High,I818705,I818705,I818705,6/2/2020 20:54,3/1/2022 22:31,9/29/2022 9:59,6/2/2020 20:54,,,"Planning (Allocations, VDT, etc.)",,,,,,,"When Advanced/Complex Filters are enabled, a user cannot add a new member in the table.?? ??In fact, at present this isn't effectively accounted for, because the user can add a new member (the menu is available) and the new line will be inserted, however the user begins typing you will receive a message that the feature is not available due to the Advanced Filters.??",1,1
Keep history in story when publishing ,FPA34-4885,6853238,User Story,Parked,FPA34,Medium,I818705,I050928,I050928,11/22/2019 16:25,3/1/2022 22:13,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"In order to keep track of the data modifications, the customer VINCI ENERGIES would like to keep the history of data collection in the History panel after the Publish process. ",2,1
Deletion of private versions can only be done by admin and for all users at once.,FPA34-6094,8290575,User Story,Considered,FPA34,Medium,I818705,D040546,D040546,9/12/2020 16:52,3/1/2022 22:04,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Can't cleanup private versions, only admins can do it (planning professional) and only for all users at once.??

If a user updates data in a public version, automatically SAC will??generate some kind of private version... The data changes will only be saved back to the public version once that user 'publishes' the data. Many planning users will forget this 'publish' step... and their changes will not be visible to anyone else.

This generated private version??never expires... so the next time the users login, they will still see this private version (_without any visual clues_) and so they will also miss anyone else's updates and latest numbers. The generated private versions seems to exist forever.

How can key-users / power users responsible for the planning process ever clean-up these private versions?
Currently only model administrators are allowed to go into model settings and??delete all private versions??(including recent ones) of all users (no other selections possible).

This is hardly??manageable in an enterprise planning process where you have tens or hundreds of planning users.

It would be good to have an option to disable the creation of private versions or at least having a popup that says ""Warning: Private data is inconsistent"" when the user logs on again during the next planning round.",2,1
Proposed Enhancements to Planning Panel,FPA34-5845,7954617,User Story,Open,FPA34,Medium,I818705,I818705,I818705,7/10/2020 22:42,3/1/2022 19:09,9/29/2022 9:59,7/10/2020 22:42,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Grouping of proposed enhancements to the planning panel.?? Examples include:

??
 * Include picker to select target value weights from another area of the table
 * Clear all existing weights from the target area
 * Display both ID and Description if selected/displayed on the table
 * Store/reuse specific distribution??
 * Interact with grid while Planning Panel is enabled",1,1
Ability to display Accounts (and other dimensions) without indentation when hierarchies are raised,FPA34-5534,7544225,User Story,Considered,FPA34,Medium,I818705,I818705,I818705,4/28/2020 16:50,2/28/2022 23:22,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Current when you use hiearchies (which is a requirement for Accounts as there is not notion of flat presentation), child members are always indented.?? For UX reasons there are some scenario where it would be preferable not to have these indented.",1,1
Execution of Data Actions seamlessly based on various Triggers,FPA34-5700,7763043,User Story,Backlog,FPA34,Very High,I818705,I818705,I818705,6/8/2020 15:30,2/28/2022 22:17,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"There are many scenarios where customers wish to execute Data Actions automatically based on a certain event rather than having to click a button.?? ??The first example of this type is the ability to pre-schedule a Data Action within the calendar as a Data Action Task, however, we need to extend this capability to allow the story designer to automatically setup the execution based on various end-user activities.?? ??Some of these types triggers may include:
 * On data publish
 * On story refresh
 * On save
 * On exit of Mass Data Entry
 * On cell change
 * On submission of calendar task/process
 * On approval of calendar task/process

Additionally, to have these types of execution scenarios run efficiently, there we need some automatic/context filtering which scopes the applicable data set being passed to the Data Action.

In BPC there is a concept of Default Logic which enables one to tag a set of predefined calculations to fire upon any data change/update irrespective of where that data is coming from (e.g. external load, user update, etc).?? ??In other words, this is a trigger that exists on the model rather than on specific actions/triggers.?? ??Ideally we would work towards the BPC paradigm as this is a very high ask on Influence now.?? ??At present there are several ways that data can change in an SAC model, and ideally there would be a central location where Data Actions/Multi-Actions could be set to execute regardless of where the change was occuring.",4,1
Allow Attributes to be updated by select Users,FPA34-5273,7301958,User Story,Considered,FPA34,Medium,I818705,I867731,I867731,3/13/2020 0:57,2/28/2022 18:25,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Chevron POC they have commented that it would be a nice feature to allow select users to have the ability to update ONLY attributes for a specific dimension.

Currently you can allow ADMIN capabilities on a specified dimension, but that allows FULL admin capabilities, i.e. Add Row, Delete Row, Change Parents.??

Large companies use attributes to control reporting and calculations. Do not want to depend on the ADMIN to have to make certain changes.

See attached screenshot.",1,1
Want complex function per table cell,FPA34-5364,7381779,User Story,Considered,FPA34,Medium,I818705,I826716,I826716,3/28/2020 15:13,2/28/2022 17:32,9/29/2022 9:59,3/28/2020 15:13,,,"BI (Charts, Explorer, Geo, Input controls, etc.)","Planning (Allocations, VDT, etc.)",,,,,,"Like in Excel, the customer wants to be able to specify a complex function for a table cell, and this could include write-back of these calculated cells within within the table area.

Florida Crystals: They showed story tables where each cell has a complex formula behind it using Webi.",1,1
[SQL Import] Handling of trusted keystore parameter in jdbc,FPA34-5514,7527926,User Story,Considered,FPA34,Low,D035331,D035331,D035331,4/24/2020 15:41,2/28/2022 15:33,9/29/2022 9:59,,,,Data Integration,,,,,,,Customer uses a They are using a self signed cert certificate and needs to be able to pass in a trusted keystore parameter.?? Their current workaround is to inject it into the jdbc url in between SAC and the Cloud Agent.?? This is not a maintainable and stable solution.?? The proper solution is to pass a trusted keystore parameter.,1,1
Ability for a user to be able to reorder Versions & the Time dimension,FPA34-5436,7411343,User Story,Backlog,FPA34,High,I818705,I817109,I817109,4/2/2020 16:48,2/26/2022 0:32,9/29/2022 9:59,,,,Data Integration,,,,,,,"We still need the ability for a user to be able to reorder Versions & the Time dimension. We need this to meet the *STANDARD* way companies want the columns in a financial statement to look.

I know I can use Restricted Measures as I work-around. But that is all it is. *A work-around*.

??A pain in the neck, not user friendly work-around you would *NEVER* want to demo having to create to an audience for something they will view as *SO* simple a requirement.

We need flexibility, we can?€?t just have it where versions are sorted by category & then alpha-numerically.

We need to ability to view a more current time period before a Time period in the past.

Here is a typical column order a customer would want. This is *STANDARD* financial reporting - {color:#FF0000}_*see attachment*_{color}

2019 is more current than 2018 so I should be able to show it closer to the first column displaying the accounts.

Latest Estimate 2 is the most recent forecast. Therefore it should appear before an older version such as Latest Estimate 1, which is also a forecast. The forecasts should appear before less current versions like the Budget.

??
 * We should not force customers to display an older time period before a more current one.
 * I should be able to display 2019 before 2018.
 * I should be able to display the more recent quarter followed by the next most recent qtr ?€? e.g. Q3 and then Q2


 * We should not force customers to display Budget versions before Forecast & Forecast before Planning
 * We should not force a customer to display Latest Estimate 1 before Latest Estimate 2 just because it proceeds it alpha-numerically


The bottom line is customers need the flexibility to determine the ordering of both the Version & Time dimensions as their needs will varying depending on how what they are reporting on & the naming conventions will vary from customer to customer.

I should be able to create a table that looks the attached example.",3,1
New line - A proper Date Picker,FPA34-5058,6970632,User Story,Backlog,FPA34,High,I818705,I034563,I034563,12/24/2019 6:52,2/26/2022 0:15,9/29/2022 9:59,12/24/2019 6:52,2020.Q1,,"Planning (Allocations, VDT, etc.)",,,,,,,"SAC planning is more and more used for various planning scenario in addition to core financial planning scenario, for project planning, liquidity planning, task planning, HC planning, etc. it's very common to have date dimension in addition to master planning time dimension.??

When adding a new line( via 'Add member'???in planning table widget, user would like to use a proper date picker to input for date dimension.??

Basic requirement:??

1.?? A date picker when user click member selector??

2. User should be to directly type with localized date format and be suggested with proper candidates.??

??

In the attached video, Invoice date and delivery date are two additional time dimension of a planning model. Currently regular member selector for date dimension takes almost 90 seconds to be initialized since it's starting from 1900.01.01....??",1,1
SAC Planning - BPC Emb Planning SequenceS - add multi actions with events like publishing and prompt,FPA34-6183,8376465,User Story,Open,FPA34,Medium,I818705,D046690,D049320,9/28/2020 14:48,2/25/2022 23:39,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Hello Colleagues,

??

as a planning modeler and planning end user, I would like to be able to configure and use a multi action approach for bpc emb planning sequence execution (one or more at the same time) and in combination with events like publishing. It is nearly the same as multi actions but add the bpc embedded option to include in a multi action.??

??

*Use-case:*

In SAC Planning (native and via live connection) a user very often uses data actions or BPC planning functions in order to execute automated planning scenarios. Those data actions and planning sequences executions are maintained behind buttons which currently are not customizable in SAC planning. The requirements of those buttons are:??
 * Customizable buttons in terms of design, color and size
 * Possible integration of buttons into the menu bar (below 'Data') to save valuable space in the planning screen
 * Possibility to add multiple commands behind one button, e.g. multiple planning sequences, toggle of input readiness of a planning model, save/publish command??

??",1,1
SAC Allocation - allow secondary dimension to specify the sending data intersection,FPA34-5288,7322372,User Story,Open,FPA34,Medium,I818705,I864593,I864593,3/17/2020 17:57,2/25/2022 23:35,9/29/2022 9:59,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"In summary, we want our allocation results to go to a specified audit trail. I found the only way I can do this is when I use the overwrite dimension. So for example, I have the attached rule. !Allocations - secondary dim.PNG!

So the system will allocate the _Employee Exps_ and _non-employee Exp_ for audit trail _input by user_ to _All Portfolio_ entities and audit trail _Allocation_.

However, it will use the headcount values assigned to the audit trail _Allocation_.

??

So what if I want to allocate the data from different data sources differently?? I only have the allocation audit trail to play with. Is there some other way to do this with the allocation functionality? Conceptually, I think I will have the same issue if I have multiple Collecting cost centers, IOs etc that I want to be distributed out.",1,1
SAML Handshake window opens once a SAC chart is opened from an IFrame,FPA34-5848,7966223,User Story,Open,FPA34,High,I819520,I055049,I055049,7/13/2020 21:25,2/23/2022 10:21,9/29/2022 9:59,7/13/2020 21:25,,,System Administration ,,,,,,,"Hi,

when opening a chart within Iframe created within application , a window opens up for the SAML handshake to happen when SAML Session is already established when the user is logged in to the application.

- Steps:
1. Create and add SAC story in iFrame.
2. Embed the iFrame in third party application (e.g. customer portal).
3. Open the story from the third party application.

both the embedding application and SAC tenant is configured against the same IDP. As per the support ticket, the customer has been asked to raise a enhancement request

kindly see the link: https://support.wdf.sap.corp/sap(bD1lbiZjPTAwMSZkPW1pbiZpPTE=)/bc/bsp/sap/crm_ui_start/default.htm?saprole=ZCSSNEXTPROC&crm-object-type=CRM_SRQM_INCIDENT&crm-object-keyname=OBJECT_GUID&crm-object-value=0090FAE68F161EDAAAF5A5C9812D40FE

Considering it an enterprise scale application, the customer expect the entire single sign on experience to happen behind the scenes.

Regards,
Virat",1,1
API for integration with SIEMs,FPA34-5793,7888966,Epic,In Progress,FPA34,Medium,I819951,I819951,I819951,6/29/2020 23:12,2/22/2022 17:43,9/29/2022 9:59,,,,Infrastructure & Compliance,System Administration ,,,,,,"Expose the tenant event and audit logs via API endpoint to allow integration with third part enterprise SIEM tools.

Expectation is that SIEM tools can automatically 'access' the audit/event data from the tenant rather than an admin having to manually export it.

Similar need to described in FPA34-4760??

POST /sap/fpa/services/rest/epm/offloadmgr?tenant=9 HTTP/1.1

Host: <xxxxx>

Connection: close

Content-Length: 295

X-CSRF-Token: <xxxx>

Accept-Language: en

User-Agent: <xxxx>

Content-Type: application/json;charset=UTF-8

Accept: application/json, text/javascript, */*; q=0.01

X-Requested-With: XMLHttpRequest

epm-page-size: 75000

epm-page-index: 1

Origin: <xxxx>

Sec-Fetch-Site: same-origin

Sec-Fetch-Mode: cors

Sec-Fetch-Dest: empty

Referer: [https://master-fpa47-t02.master.canary.eu10.projectorca.cloud/sap/fpa/ui/app.html]

Accept-Encoding: gzip, deflate

Cookie: ??<xxxx>

??

{""action"":""getDataToOffload"",""data"":\{""p1"":""AUDIT"",""p2"":true,""p3"":{""searchInfo"":{""query"":"""",""columns"":[""TYPE"",""NAME"",""PACKAGE"",""DESCRIPTION"",""USERNAME"",""ACTIVITY"",""STATUS"",""FILENAME""]},""sortInfo"":\{""key"":"""",""descending"":false},""from"":""2020-09-15T07:00:00.000Z"",""till"":""2020-09-17T07:00:00.000Z""}}}

??

Showing the action in more readable format, this is getting sept 15 to sept 16:

??

??

I think csrf token can be gotten via this:?? [https://help.sap.com/viewer/298f82da4b184d1fb825b7ffe365e94a/release/en-US/69fcd01df73246eea9293aebd59f7501.html]

??",1,1
Auto-increment and Master Data Creation Standardization,FPA34-5472,7468842,User Story,Considered,FPA34,Medium,D035331,D035331,D035331,4/14/2020 20:04,2/22/2022 10:41,9/29/2022 9:59,4/14/2020 20:04,,,Data Integration,,,,,,,"From INfluence:

??

_Please describe your improvement request_

On the fly Master data creation in SAC is possible by end users in the table widget (right click > add member), but end-users have to enter the master data code (ID) themselves. However, this is a 'free-text' ID, so often not in line with the intended (IT) model standards.

We are in need of an 'auto-increment' feature where the master data just counts upwards.
E.g. when adding new product master data, if the??highest??product id is '612', then the next should be generated as '613', etc. And this should be??*concurrency proof*??if any other end users are planning at the same time. And the 'free text' should still be possible in the description of the product itself.

Also, the table widget is not always user friendly when a lot of properties have to be provided, and some of them are mandatory & need proper values (validation) for the SAC planning & calculation features to work correctly.
Validation of property values can be: a numeric value, a percentage, a date/time picker, a certain amount of characters, an existing member of another dimension, etc.
It would be better if a standard 'wizard' screen can be made available that guides end users in the master data create process. Or at least if this could be scripted somehow in SAC Application Design.

And SAC is also missing the possibility to 'update' existing master data. Only 'new' master data can be added, so mistakes after creation cannot even be corrected at the moment.

_What is the opportunity/problem the request_??_will address?_

Easier & Fool-Proof Master Data creation on the fly during the planning process.

_What is the expected benefit?_

Less user training needed, less error-prone planning process.
Greater SAC adoption in many different planning areas requiring master data creation.
Concurrent creation of master data is often an issue in planning (BPC) implementations at the moment.",1,1
Misc. - Pass prompt parameter/variables while hyperlink navigation between stories,FPA34-5200,7198646,User Story,Open,FPA34,Medium,I866445,D033968,D033968,2/21/2020 12:10,2/21/2022 9:18,9/29/2022 9:59,2/21/2020 12:10,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"Currently, when I select hyperlink to a story, I have the Hyperlink option - Apply selected dimension as a filter.?? When I select this option, the dimension filter appears as a story filter in the story that I navigate to.

I would like to also have an option to select apply selected prompt variable to also be transferred to the launched story.",1,1
Change timezone associated with calendar notifications,FPA34-5505,7522370,User Story,Open,FPA34,Medium,I818705,I818705,I818705,4/23/2020 18:20,2/18/2022 23:37,9/29/2022 9:59,4/23/2020 18:20,,,"Planning (Allocations, VDT, etc.)",System Administration ,,,,,,Currently email notifications are only sent based on UTC.,1,1
Generate clean Download Data Changes file for Model creation,FPA34-5741,7836841,User Story,Considered,FPA34,High,I818705,I050928,I050928,6/19/2020 13:10,2/18/2022 23:05,9/29/2022 9:59,6/19/2020 13:10,,,"Planning (Allocations, VDT, etc.)",System Administration ,,,,,,"Planning end users want to see the data changes that occurred during the Planning process.

To do so, we need to download the Data Changes of the Security module and create an Analytic Model

But when downloading the Data Changes file in the Security module, the generated file isn't clean enough to be downloaded directly in an Analytic model (empty rows, row with a detail) plus it seems that the headers aren't properly set (feedback of VINCI Energies). Please find enclosed a file as test or try reproducing the following steps 

Go to Security/Data changes
Select a model
Select a period
Download the file
Go to create a new model
Import a file from your computer
Select source file 
Select the previously downloaded file 
See the outcome when generating the model 

The file needs to be cleaned before being importable.

Customers need a file that can be imported with ""autodetect"" feature.
",2,1
